Title,Year,Source,Publisher,ArticleURL,CitesURL,Type
Nous: Construction and querying of dynamic knowledge graphs,2017,2017 IEEE 33rd …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/7930125/,"https://scholar.google.com/scholar?cites=8084445955965626687&as_sdt=2005&sciodt=0,5&hl=en",
Modelling and Analysing Dynamic Linked Data using RDF and SPARQL.,2017,PROFILES@ ISWC,ceur-ws.org,http://ceur-ws.org/Vol-1927/paper5.pdf,"https://scholar.google.com/scholar?cites=16900042619286751008&as_sdt=2005&sciodt=0,5&hl=en",PDF
Inferring the evolution of ontology axioms from RDF data dynamics,2017,Proceedings of the Knowledge Capture …,dl.acm.org,https://dl.acm.org/citation.cfm?id=3154472,,
Non-parametric estimation of multiple embeddings for link prediction on dynamic knowledge graphs,2017,Thirty-First AAAI Conference on Artificial …,aaai.org,https://www.aaai.org/ocs/index.php/AAAI/AAAI17/paper/viewPaper/14524,"https://scholar.google.com/scholar?cites=7161722167918561775&as_sdt=2005&sciodt=0,5&hl=en",
GraphCache: a caching system for graph queries,2017,,eprints.gla.ac.uk,http://eprints.gla.ac.uk/130141/,"https://scholar.google.com/scholar?cites=4477246348874835840&as_sdt=2005&sciodt=0,5&hl=en",
Modelling dynamics in semantic web knowledge graphs with formal concept analysis,2018,Proceedings of the 2018 World Wide Web …,dl.acm.org,https://dl.acm.org/citation.cfm?id=3186016,"https://scholar.google.com/scholar?cites=16534386268633549717&as_sdt=2005&sciodt=0,5&hl=en",
Dynamic linked data: A SPARQL event processing architecture,2018,Future Internet,mdpi.com,https://www.mdpi.com/1999-5903/10/4/36,"https://scholar.google.com/scholar?cites=17935884169377371085&as_sdt=2005&sciodt=0,5&hl=en",
Learning graph dynamics using deep neural networks,2018,IFAC-PapersOnLine,Elsevier,https://www.sciencedirect.com/science/article/pii/S2405896318300788,"https://scholar.google.com/scholar?cites=91145993481596119&as_sdt=2005&sciodt=0,5&hl=en",
EvoRDF: evolving the exploration of ontology evolution,2018,The Knowledge Engineering Review,cambridge.org,https://www.cambridge.org/core/journals/knowledge-engineering-review/article/evordf-evolving-the-exploration-of-ontology-evolution/348F681BDC1A6886795D0445A5BBF601,"https://scholar.google.com/scholar?cites=2973447436339403441&as_sdt=2005&sciodt=0,5&hl=en",
Analysing the Evolution of Knowledge Graphs for the Purpose of Change Verification,2018,2018 IEEE 12th International …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/8334436/,"https://scholar.google.com/scholar?cites=8612536087251471281&as_sdt=2005&sciodt=0,5&hl=en",
Staying up to Date with Online Content Changes Using Reinforcement Learning for Scheduling,2019,,openreview.net,https://openreview.net/forum?id=ByxjGvuKoE,,
Caching SPARQL Query Results,,site.xam.de,,http://site.xam.de/2007/2007-05-ISWC-submission-doeweling-voelkel-CachingSPARQL.pdf,,PDF
3.7 ACQUA: Approximate Continuous QUery Answering over Streams and Dynamic Linked Data Sets,,Federated Semantic Data Management,drops.dagstuhl.de,http://drops.dagstuhl.de/opus/volltexte/2017/8289/pdf/dagrep_v007_i006_p135_17262.pdf#page=12,,
----------------------------------------------------------------------------------------
DSNotify–A solution for event detection and link maintenance in dynamic datasets
Formal foundations for RDF/S KB evolution
A query language for multi‐version data web archives
TailR: a platform for preserving history on the web of data
Diachronic linked data: towards long-term preservation of structured interrelated information
Linked Data and Live Querying for Enabling Support Platforms for Web Dataspaces
Capturing the Age of Linked Open Data: Towards a Dataset-Independent Framework
A Perspective on Resource Synchronization
Live linked data: synchronising semantic stores with commutative replicated data types.
Enhancing Source Selection for Live Queries over Linked Data via Query Log Mining
Versioning for Linked Data: Archiving Systems and Benchmarks.
Using metadata to maintain link integrity for linked data
OSTRICH: versioned random-access triple store
SPBv: Benchmarking Linked Data Archiving Systems.
 Versioned triple pattern fragments: a low-cost linked data interface feature
A hybrid framework for querying linked data dynamically
How to Keep a Knowledge Base Synchronized with Its Encyclopedia Source
A flexible framework for defining, representing and detecting changes on the data web
Data Change Exploration Using Time Series Clustering
Managing and Using Provenance in the Semantic Web
Ontology Property-based Adaptive Crawler for Linked Data(OPAC)
Towards designing an efficient crawling window to analysis and annotate changes in linked data sources
Measuring the Accuracy of Linked Data Indices
Towards Understanding the Changing Web: Mining the Dynamics of Linked-Data Sources and Entities
Change-Aware Scheduling for Effectively Updating Linked Open Data Caches
Behaviour on Linked Data
DELTA-R: a change detection approach for RDF datasets
Live Storage and Querying of Versioned Datasets on the Web
Towards a Framework for Managing Evolving Information Resources on the Data Web.
DELTA-LD: A change detection approach for linked datasets
An Archiving System for Managing Evolution in the Data Web	2015
Completeness and consistency analysis for evolving knowledge bases	2019
Monitoring the dynamism of the linked data space through environment abstraction	2013
Knowledge Base Evolution Analysis: A Case Study in the Tourism Domain	2018
Summarizing Entity Temporal Evolution in Knowledge Graphs	2019
Regions In a Linked Dataset For Change Detection	2019
Towards Understanding the Evolution of Vocabulary Terms in Knowledge Graphs	2017
Analyzing the evolution of vocabulary terms and their impact on the LOD cloud	2018
Versioning Linked Datasets	2015
Dynamics in Linked Data Environments	2015
Toward sustainable publishing and querying of distributed Linked Data archives	2018

