Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age
27,"HP Tserng, WY Lin","Developing an electronic acquisition model for project scheduling using XML-based information standard",2003,"Automation in construction","Elsevier","https://www.sciencedirect.com/science/article/pii/S0926580502000419","https://scholar.google.com/scholar?cites=9308605753528574994&as_sdt=2005&sciodt=0,5&hl=en",14,"2019-07-21 18:19:59","","","","",,,,,27,1.69,14,2,16
53,"AG Ryman, A Le Hors, S Speicher","OSLC Resource Shape: A language for defining constraints on Linked Data.",2013,"LDOW","Citeseer","http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.362.5294&rep=rep1&type=pdf","https://scholar.google.com/scholar?cites=8807023271339027763&as_sdt=2005&sciodt=0,5&hl=en",14,"2019-07-21 18:19:59","PDF","","","",,,,,53,8.83,18,3,6
5,"R Denaux, JM GÃ³mez-PÃ©rez","Towards a Vecsigrafo: Portable Semantics in Knowledge-based Text Analytics.",2017,"HybridSemStats@ ISWC","pdfs.semanticscholar.org","https://pdfs.semanticscholar.org/b0d6/197940d8f1a5fa0d7474bd9a94bd9e44a0ee.pdf","https://scholar.google.com/scholar?cites=15898964890004335713&as_sdt=2005&sciodt=0,5&hl=en",14,"2019-07-21 18:19:59","PDF","","","",,,,,5,2.50,3,2,2
111,"JD Lane, DM Krumholz, RA Sack, C Morris","Tear glucose dynamics in diabetes mellitus",2006,"Current eye research","Taylor & Francis","https://www.tandfonline.com/doi/abs/10.1080/02713680600976552?casa_token=Kurs6V8woL4AAAAA:hz_nBAcD_rR1o2u_aEcS7ustfrzpCWp7rfW-NE_Uq5LRUp8O_XWpngC7R4JiN6DVWrYE96F8nnkSAlQ","https://scholar.google.com/scholar?cites=151247346196456723&as_sdt=2005&sciodt=0,5&hl=en",14,"2019-07-21 18:19:59","","","","",,,,,111,8.54,28,4,13
49,"KJ Dick, R Al-Mjeni, W Baskir, R Koul, MA Simpson, ...","A novel locus for an autosomal recessive hereditary spastic paraplegia (SPG35) maps to 16q21-q23",2008,"Neurology","AAN Enterprises","https://n.neurology.org/content/71/4/248.short","https://scholar.google.com/scholar?cites=4287434241580103621&as_sdt=2005&sciodt=0,5&hl=en",14,"2019-07-21 18:19:59","","","","",,,,,49,4.45,8,6,11
27,"E Kandogan, M Roth, P Schwarz, J Hui, ...","Labbook: Metadata-driven social collaborative data analysis",2015,"â€¦Â Conference on BigÂ â€¦","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/7363784/","https://scholar.google.com/scholar?cites=6132262594133191688&as_sdt=2005&sciodt=0,5&hl=en",14,"2019-07-21 18:19:59","","","","",,,,,27,6.75,5,5,4
6,"L Dodds, A Newman, LCCA Licence","Open Data Maturity Model",2015,"","theodi.org","https://theodi.org/wp-content/uploads/2017/10/Open-Data-Maturity-Model-Edition-1.0-_-31-March-2015-1.pdf","https://scholar.google.com/scholar?cites=13753777902256282094&as_sdt=2005&sciodt=0,5&hl=en",14,"2019-07-21 18:19:59","PDF","","","",,,,,6,1.50,2,3,4
6,"S Hagedorn, KU Sattler","Discovery querying in linked open data",2013,"Proceedings of the Joint EDBT/ICDT 2013Â â€¦","dl.acm.org","https://dl.acm.org/citation.cfm?id=2457324","https://scholar.google.com/scholar?cites=7358876637777691751&as_sdt=2005&sciodt=0,5&hl=en",14,"2019-07-21 18:19:59","","","","",,,,,6,1.00,3,2,6
17,"YH Zhou, DW Zheng, XH Liao","Wavelet analysis of interannual LOD, AAM, and ENSO: 1997â€“98 El Nino and 1998â€“99 La Nina signals",2001,"Journal of Geodesy","Springer","https://idp.springer.com/authorize/casa?redirect_uri=https://link.springer.com/article/10.1007/s001900100173&casa_token=UVDFnAy5xvcAAAAA:WVmIgIYP8kzQzXbLpWNJ0mZN3DEWjTlYKGjfOJp0XPoYYP0A7cjpyMku3mvNkQCu2xDKvi75JExVlvSI5hs","https://scholar.google.com/scholar?cites=17807785591180027677&as_sdt=2005&sciodt=0,5&hl=en",14,"2019-07-21 18:19:59","","","","",,,,,17,0.94,6,3,18
10,"K Chopra, R Rush, D MendonÃ§a, WA Wallace","Acquiring and assessing knowledge from multiple experts using graphical representations",2000,"Knowledge-Based Systems","Elsevier","https://www.sciencedirect.com/science/article/pii/B9780124438750500112","https://scholar.google.com/scholar?cites=1744404841840941832&as_sdt=2005&sciodt=0,5&hl=en",14,"2019-07-21 18:19:59","","","","",,,,,10,0.53,3,4,19
770,"PA Samuelson","Economics of forestry in an evolving society",1976,"Economic inquiry","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1465-7295.1976.tb00437.x","https://scholar.google.com/scholar?cites=16845556402088216698&as_sdt=2005&sciodt=0,5&hl=en",14,"2019-07-21 18:19:59","","","","",,,,,770,17.91,770,1,43
6,"Y Zhan","Updating rdf",2005,"21st Computer Science Conference","Citeseer","http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.90.9760&rep=rep1&type=pdf","https://scholar.google.com/scholar?cites=9164555279929379679&as_sdt=2005&sciodt=0,5&hl=en",14,"2019-07-21 18:19:59","PDF","","","",,,,,6,0.43,6,1,14
26,"C Deliot","Publishing the British national bibliography as linked open data",2014,"Catalogue & Index","microblogging.infodocs.eu","http://microblogging.infodocs.eu/wp-content/uploads/2014/10/publishing_bnb_as_lod.pdf","https://scholar.google.com/scholar?cites=13099761847839481938&as_sdt=2005&sciodt=0,5&hl=en",14,"2019-07-21 18:19:59","PDF","","","",,,,,26,5.20,26,1,5
98,"J Cook, MP Beckett, B Reliford, W Hammock, ...","Multiresidue analysis of pesticides in fresh fruits and vegetables using procedures developed by the Florida Department of Agriculture and Consumer Services",1999,"Journal-aoacÂ â€¦","lib3.dss.go.th","http://lib3.dss.go.th/fulltext/Journal/J.AOAC%201999-2003/J.AOAC1999/v82n6(nov-dec)/v82n6p1419.pdf","https://scholar.google.com/scholar?cites=13453323546810651870&as_sdt=2005&sciodt=0,5&hl=en",14,"2019-07-21 18:19:59","PDF","","","",,,,,98,4.90,20,5,20
5,"S Oramas, M Sordo, X Serra","Automatic creation of knowledge graphs from digital musical document libraries",2014,"â€¦Â Musicology; 2014 Dec 4-6; BerlinÂ â€¦","repositori.upf.edu","https://repositori.upf.edu/handle/10230/33453","https://scholar.google.com/scholar?cites=5294613621941155681&as_sdt=2005&sciodt=0,5&hl=en",14,"2019-07-21 18:19:59","","","","",,,,,5,1.00,2,3,5
293,"Y Qi, T Ã‡aÄŸÄ±n, Y Kimura, WA Goddard III","Molecular-dynamics simulations of glass formation and crystallization in binary liquid metals: Cu-Ag and Cu-Ni",1999,"Physical review B","APS","https://journals.aps.org/prb/abstract/10.1103/PhysRevB.59.3527","https://scholar.google.com/scholar?cites=14612636974138992671&as_sdt=2005&sciodt=0,5&hl=en",14,"2019-07-21 18:19:59","","","","",,,,,293,14.65,73,4,20
33,"M Rueda, HJ Urban","Population dynamics and fishery of the fresh-water clam Polymesoda solida (Corbiculidae) in Cienaga Poza Verde, Salamanca Island, Colombian Caribbean",1998,"Fisheries Research","Elsevier","https://www.sciencedirect.com/science/article/pii/S0165783698001684","https://scholar.google.com/scholar?cites=735503289385990421&as_sdt=2005&sciodt=0,5&hl=en",14,"2019-07-21 18:19:59","","","","",,,,,33,1.57,17,2,21
23,"L Peska, P Vojtas","Enhancing recommender system with linked open data",2013,"International Conference on Flexible Query AnsweringÂ â€¦","Springer","https://link.springer.com/chapter/10.1007/978-3-642-40769-7_42","https://scholar.google.com/scholar?cites=3792843834833102627&as_sdt=2005&sciodt=0,5&hl=en",14,"2019-07-21 18:19:59","","","","",,,,,23,3.83,12,2,6
50,"CL Moyes, WH Temperley, ...","Providing open access data online to advance malaria research and control",2013,"MalariaÂ â€¦","malariajournal.biomedcentral.com","https://malariajournal.biomedcentral.com/articles/10.1186/1475-2875-12-161","https://scholar.google.com/scholar?cites=4986122820170833937&as_sdt=2005&sciodt=0,5&hl=en",14,"2019-07-21 18:19:59","HTML","","","",,,,,50,8.33,17,3,6
0,"E Rahm","SCALABLE GRAPH DATA MANAGEMENT AND ANALYTICS WITH GRADOOP",,"dbs.uni-leipzig.de","","https://dbs.uni-leipzig.de/file/GRADOOP-April2019.pdf","",14,"2019-07-21 18:19:59","PDF","","","",,,,,0,0.00,0,1,
172,"M Acosta, ME Vidal, T Lampo, J Castillo, ...","ANAPSID: an adaptive query processing engine for SPARQL endpoints",2011,"International SemanticÂ â€¦","Springer","https://link.springer.com/chapter/10.1007/978-3-642-25073-6_2","https://scholar.google.com/scholar?cites=5083079097750156406&as_sdt=2005&sciodt=0,5&hl=en",14,"2019-07-21 18:19:59","","","","",,,,,172,21.50,34,5,8
185,"D Huynh, DR Karger, D Quan","Haystack: A Platform for Creating, Organizing and Visualizing Information Using RDF.",2002,"Semantic Web Workshop","aaai.org","https://www.aaai.org/Papers/Workshops/2002/WS-02-11/WS02-11-014.pdf","https://scholar.google.com/scholar?cites=17057457552207322481&as_sdt=2005&sciodt=0,5&hl=en",14,"2019-07-21 18:19:59","PDF","","","",,,,,185,10.88,62,3,17
8,"N Pernelle, F SaÃ¯s, D Mercier, ...","RDF data evolution: efficient detection and semantic representation of changes",2016,"Semantic SystemsÂ â€¦","ceur-ws.org","http://ceur-ws.org/Vol-1695/paper29.pdf","https://scholar.google.com/scholar?cites=988192379140888825&as_sdt=2005&sciodt=0,5&hl=en",14,"2019-07-21 18:19:59","PDF","","","",,,,,8,2.67,2,4,3
26,"M Malmsten","Exposing library data as linked data",2009,"IFLA satellite preconference sponsored by theÂ â€¦","Citeseer","http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.181.860&rep=rep1&type=pdf","https://scholar.google.com/scholar?cites=10720884254666988945&as_sdt=2005&sciodt=0,5&hl=en",14,"2019-07-21 18:19:59","PDF","","","",,,,,26,2.60,26,1,10
31,"S Fai, J Rafeiro","Establishing an appropriate level of detail (LoD) for a building information model (BIM)-West Block, Parliament Hill, Ottawa, Canada",2014,"ISPRS Annals of the Photogrammetry, RemoteÂ â€¦","researchgate.net","https://www.researchgate.net/profile/Jesse_Rafeiro/publication/269710299_Establishing_an_appropriate_level_of_detail_LoD_for_a_building_information_model_BIM_-_West_Block_Parliament_Hill_Ottawa_Canada/links/5494c2600cf20f487d2c4795/Establishing-an-appropriate-level-of-detail-LoD-for-a-building-information-model-BIM-West-Block-Parliament-Hill-Ottawa-Canada.pdf","https://scholar.google.com/scholar?cites=9481286467503725190&as_sdt=2005&sciodt=0,5&hl=en",14,"2019-07-21 18:19:59","PDF","","","",,,,,31,6.20,16,2,5
9,"D Karagiannis, R Buchmann, M Walch","How can diagrammatic conceptual modelling support knowledge management?",2017,"","aisel.aisnet.org","https://aisel.aisnet.org/ecis2017_rp/101/","https://scholar.google.com/scholar?cites=3381730517590018218&as_sdt=2005&sciodt=0,5&hl=en",14,"2019-07-21 18:19:59","","","","",,,,,9,4.50,3,3,2
20,"H Halpin, J Cheney","Dynamic provenance for SPARQL updates",2014,"International Semantic Web Conference","Springer","https://link.springer.com/chapter/10.1007/978-3-319-11964-9_27","https://scholar.google.com/scholar?cites=3243696875752069092&as_sdt=2005&sciodt=0,5&hl=en",14,"2019-07-21 18:19:59","","","","",,,,,20,4.00,10,2,5
104,"DC Faye, O Cure, G Blin","A survey of RDF storage approaches",2012,"Revue Africaine de la Recherche enÂ â€¦","hal.inria.fr","https://hal.inria.fr/hal-01299496/","https://scholar.google.com/scholar?cites=6409601657704432597&as_sdt=2005&sciodt=0,5&hl=en",15,"2019-07-21 18:19:59","","","","",,,,,104,14.86,35,3,7
2,"JC Piao, CW Cho, CG Kim, ...","An adaptive LOD setting methodology with OpenGL ES library on mobile devices",2014,"â€¦Â Conference on ITÂ â€¦","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/7021727/","https://scholar.google.com/scholar?cites=7440983145409126228&as_sdt=2005&sciodt=0,5&hl=en",15,"2019-07-21 18:19:59","","","","",,,,,2,0.40,1,4,5
9,"E BrÃ¤nnvall, L Andreas, R SjÃ¶blom, ...","Factors influencing chemical and mineralogical changes in RDF fly ashes during aging",2013,"Journal ofÂ â€¦","ascelibrary.org","https://ascelibrary.org/doi/abs/10.1061/(ASCE)EE.1943-7870.0000802?casa_token=AcbIUzkaBsMAAAAA:-g08jReFRSBxuDpIOd889HOwHI83qL1ak8EJzNwjxvcyfo9nRt9GqjG6-lcF9_qwhjBzqvL3itn1xw","https://scholar.google.com/scholar?cites=2093020547983200855&as_sdt=2005&sciodt=0,5&hl=en",15,"2019-07-21 18:19:59","","","","",,,,,9,1.50,2,4,6
30,"RE Bohn","From art to science in manufacturing: The evolution of technological knowledge",2005,"â€¦Â and TrendsÂ® in Technology, Information andÂ â€¦","nowpublishers.com","http://www.nowpublishers.com/article/Details/TOM-002","https://scholar.google.com/scholar?cites=9822532920007193342&as_sdt=2005&sciodt=0,5&hl=en",15,"2019-07-21 18:19:59","","","","",,,,,30,2.14,30,1,14
11,"DH Im, SW Lee, HJ Kim","Backward inference and pruning for RDF change detection using RDBMS",2013,"Journal of Information Science","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/0165551512463650?casa_token=wE-G9y4UDnQAAAAA:MDWDjJD_9roKWUjayBRLVhT2Xqw6-VkZywfZqhRp0KYy5QHNroF31Shc9_0e1cX-1IRcqzqAXyaZVNQ","https://scholar.google.com/scholar?cites=17815231870642277418&as_sdt=2005&sciodt=0,5&hl=en",15,"2019-07-21 18:19:59","","","","",,,,,11,1.83,4,3,6
135,"B VillazÃ³n-Terrazas, LM Vilches-BlÃ¡zquez, ...","Methodological guidelines for publishing government linked data",2011,"Linking governmentÂ â€¦","Springer","https://link.springer.com/chapter/10.1007/978-1-4614-1767-5_2","https://scholar.google.com/scholar?cites=16528449789151277358&as_sdt=2005&sciodt=0,5&hl=en",15,"2019-07-21 18:19:59","","","","",,,,,135,16.88,45,3,8
38,"WW Lu","An open baseband processing architecture for future mobile terminal design",2008,"IEEE Wireless Communications","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/4492984/","https://scholar.google.com/scholar?cites=15518698442114674690&as_sdt=2005&sciodt=0,5&hl=en",15,"2019-07-21 18:19:59","","","","",,,,,38,3.45,38,1,11
90,"IG Terrizzano, PM Schwarz, M Roth, JE Colino","Data Wrangling: The Challenging Yourney from the Wild to the Lake.",2015,"CIDR","pdfs.semanticscholar.org","https://pdfs.semanticscholar.org/2a24/f587b68a1ef6539b4ed8725dfe76f0ed40e2.pdf","https://scholar.google.com/scholar?cites=11277230270427838132&as_sdt=2005&sciodt=0,5&hl=en",15,"2019-07-21 18:19:59","PDF","","","",,,,,90,22.50,23,4,4
41,"M Luczak-RÃ¶sch, R Heese","Linked Data Authoring for Non-Experts.",2009,"LDOW","ceur-ws.org","http://ceur-ws.org/Vol-538/ldow2009_paper4.pdf","https://scholar.google.com/scholar?cites=5608972907117690703&as_sdt=2005&sciodt=0,5&hl=en",15,"2019-07-21 18:19:59","PDF","","","",,,,,41,4.10,21,2,10
235,"C Bizer, P Boncz, ML Brodie, O Erling","The meaningful use of big data: four perspectives--four challenges",2012,"ACM Sigmod Record","dl.acm.org","https://dl.acm.org/citation.cfm?id=2094129","https://scholar.google.com/scholar?cites=14754222282555070846&as_sdt=2005&sciodt=0,5&hl=en",15,"2019-07-21 18:19:59","","","","",,,,,235,33.57,59,4,7
41,"T KÃ¤fer, J Umbrich, A Hogan, A Polleres","Towards a dynamic linked data observatory",2012,"LDOW at WWW","academia.edu","http://www.academia.edu/download/30722916/ldow2012-slides-14.pdf","https://scholar.google.com/scholar?cites=5874851588666566449&as_sdt=2005&sciodt=0,5&hl=en",15,"2019-07-21 18:19:59","PDF","","","",,,,,41,5.86,10,4,7
13,"ET Moseley, DJ Hsu, DJ Stone, LA Celi","Beyond open big data: addressing unreliable research",2014,"Journal of medical InternetÂ â€¦","jmir.org","https://www.jmir.org/article/view/3871","https://scholar.google.com/scholar?cites=15505759709279621309&as_sdt=2005&sciodt=0,5&hl=en",15,"2019-07-21 18:19:59","HTML","","","",,,,,13,2.60,3,4,5
12,"A Assaf, R Troncy, A Senart","What's up LOD Cloud?",2015,"European Semantic Web Conference","Springer","https://link.springer.com/chapter/10.1007/978-3-319-25639-9_40","https://scholar.google.com/scholar?cites=16246012196924608427&as_sdt=2005&sciodt=0,5&hl=en",15,"2019-07-21 18:19:59","","","","",,,,,12,3.00,4,3,4
71,"C Hvilsom, Y Qian, T Bataillon, Y Li, ...","Extensive X-linked adaptive evolution in central chimpanzees",2012,"Proceedings of theÂ â€¦","National Acad Sciences","https://www.pnas.org/content/109/6/2054.short","https://scholar.google.com/scholar?cites=10462050781640606994&as_sdt=2005&sciodt=0,5&hl=en",15,"2019-07-21 18:19:59","","","","",,,,,71,10.14,14,5,7
21,"J Lorey, F Naumann","Detecting SPARQL query templates for data prefetching",2013,"Extended Semantic Web Conference","Springer","https://link.springer.com/chapter/10.1007/978-3-642-38288-8_9","https://scholar.google.com/scholar?cites=12840759214798555509&as_sdt=2005&sciodt=0,5&hl=en",15,"2019-07-21 18:19:59","","","","",,,,,21,3.50,11,2,6
55,"I Ermilov, M Martin, J Lehmann, S Auer","Linked open data statistics: Collection and exploitation",2013,"International Conference onÂ â€¦","Springer","https://link.springer.com/chapter/10.1007/978-3-642-41360-5_19","https://scholar.google.com/scholar?cites=7300049002545377831&as_sdt=2005&sciodt=0,5&hl=en",15,"2019-07-21 18:19:59","","","","",,,,,55,9.17,14,4,6
127,"TJ Vision","Open data and the social contract of scientific publishing",2010,"BioScience","academic.oup.com","https://academic.oup.com/bioscience/article-abstract/60/5/330/237825","https://scholar.google.com/scholar?cites=5115071349289166963&as_sdt=2005&sciodt=0,5&hl=en",15,"2019-07-21 18:19:59","","","","",,,,,127,14.11,127,1,9
16,"KG Jeffery, A Asserson, N Houssos, V Brasse, ...","From open data to data-intensive science through CERIF",2014,"Procedia ComputerÂ â€¦","Elsevier","https://www.sciencedirect.com/science/article/pii/S1877050914008229","https://scholar.google.com/scholar?cites=5157838537548505950&as_sdt=2005&sciodt=0,5&hl=en",15,"2019-07-21 18:19:59","","","","",,,,,16,3.20,3,5,5
8,"D ROGOZAN, G PAQUETTE","Semantic annotation in e-learning systems based on evolving ontologies",2005,"SW-EL'05: Applications of SemanticÂ â€¦","academia.edu","http://www.academia.edu/download/30962644/W3proc.pdf#page=69","https://scholar.google.com/scholar?cites=7984292970581021253&as_sdt=2005&sciodt=0,5&hl=en",15,"2019-07-21 18:19:59","PDF","","","",,,,,8,0.57,4,2,14
115,"D Fensel, F Van Harmelen, M Klein, ...","On-to-knowledge: Ontology-based tools for knowledge management",2000,"Proceedings of theÂ â€¦","cs.ox.ac.uk","https://www.cs.ox.ac.uk/people/ian.horrocks/Publications/download/2000/eBeW00.pdf","https://scholar.google.com/scholar?cites=7082969512802830950&as_sdt=2005&sciodt=0,5&hl=en",15,"2019-07-21 18:19:59","PDF","","","",,,,,115,6.05,29,4,19
4,"AR Hirsch, R Carle, S Neidhart","Validation and application of a standardized procedure for evaluating freshness of Citrus juices based on pectin methylesterase activity quantitation",2012,"Journal of Applied Botany and FoodÂ â€¦","Citeseer","http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.979.1548&rep=rep1&type=pdf","https://scholar.google.com/scholar?cites=14133624437842160481&as_sdt=2005&sciodt=0,5&hl=en",15,"2019-07-21 18:19:59","PDF","","","",,,,,4,0.57,1,3,7
3,"RK Tiwari, JG Negi, KNN Rao","Nature of chaos and limits of predictability of length of the day (LOD) fluctuations",1997,"Journal ofÂ â€¦","Association of ExplorationÂ â€¦","","https://scholar.google.com/scholar?cites=11349058254592353281&as_sdt=2005&sciodt=0,5&hl=en",15,"2019-07-21 18:19:59","CITATION","","","",,,,,3,0.14,1,3,22
33,"JS Tse, ML Klein","A molecular dynamics study of the effect of pressure on the properties of water and ice",1988,"The Journal of Physical Chemistry","ACS Publications","https://pubs.acs.org/doi/pdf/10.1021/j100313a015","https://scholar.google.com/scholar?cites=16329615104067454741&as_sdt=2005&sciodt=0,5&hl=en",15,"2019-07-21 18:19:59","","","","",,,,,33,1.06,17,2,31
66,"KT Bates, PL Falkingham","Estimating maximum bite performance in Tyrannosaurus rex using multi-body dynamics",2012,"Biology Letters","royalsocietypublishing.org","https://royalsocietypublishing.org/doi/abs/10.1098/rsbl.2012.0056","https://scholar.google.com/scholar?cites=17375853654063544726&as_sdt=2005&sciodt=0,5&hl=en",15,"2019-07-21 18:19:59","","","","",,,,,66,9.43,33,2,7
6,"G Piazza, M Rinaldi, C Zuniga","Nanoscaled piezoelectric aluminum nitride contour-mode resonant sensors",2010,"SENSORS, 2010 IEEE","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/5690615/","https://scholar.google.com/scholar?cites=10560308911606242397&as_sdt=2005&sciodt=0,5&hl=en",15,"2019-07-21 18:19:59","","","","",,,,,6,0.67,2,3,9
47,"W Zhang","Reinforcement learning for job-shop scheduling",1996,"","ir.library.oregonstate.edu","https://ir.library.oregonstate.edu/downloads/wp988p95c","https://scholar.google.com/scholar?cites=7199858704787664670&as_sdt=2005&sciodt=0,5&hl=en",15,"2019-07-21 18:19:59","PDF","","","",,,,,47,2.04,47,1,23
16,"MY Hu","Semantic based LoD models of 3D house property",2008,"Proceedings of Commission II, ISPRS CongressÂ â€¦","pdfs.semanticscholar.org","https://pdfs.semanticscholar.org/abd1/bc76e909a68b19e9802cfe27916afdceadef.pdf","https://scholar.google.com/scholar?cites=3064629289589777514&as_sdt=2005&sciodt=0,5&hl=en",15,"2019-07-21 18:19:59","PDF","","","",,,,,16,1.45,16,1,11
7,"M Galkin, S Auer, S Scerri","Enterprise Knowledge Graphs: A Backbone of Linked Enterprise Data",2016,"2016 IEEE/WIC/ACM InternationalÂ â€¦","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/7817100/","https://scholar.google.com/scholar?cites=825935132736948988&as_sdt=2005&sciodt=0,5&hl=en",15,"2019-07-21 18:19:59","","","","",,,,,7,2.33,2,3,3
22,"A Chakraborty, B Wilson, S Sarraf, A Jana","Open data for informal settlements: Toward a user×³ s guide for urban managers and planners",2015,"Journal of Urban Management","Elsevier","https://www.sciencedirect.com/science/article/pii/S2226585615000229","https://scholar.google.com/scholar?cites=10738658121221433547&as_sdt=2005&sciodt=0,5&hl=en",15,"2019-07-21 18:19:59","HTML","","","",,,,,22,5.50,6,4,4
29,"G Luzzi, M O'Leary","Chronic pelvic pain syndrome: Is common and poorly understoodâ€”a fresh approach is needed",1999,"","bmj.com","https://www.bmj.com/content/318/7193/1227?variant=full","https://scholar.google.com/scholar?cites=8733727447403624868&as_sdt=2005&sciodt=0,5&hl=en",15,"2019-07-21 18:19:59","","","","",,,,,29,1.45,15,2,20
0,"B Xu, J Liang, C Xie, B Liang, L Chen, Y Xiao","CN-DBpedia2: An Extraction and Verification Framework for Enriching Chinese Encyclopedia Knowledge Base",,"data-intelligence-journal.org","","http://www.data-intelligence-journal.org/static/publish/CC/E0/EA/CD75BA4B42AD6E4C134835AC13/10.1162dint_a_00017_xu_bo.pdf","",15,"2019-07-21 18:19:59","PDF","","","",,,,,0,0.00,0,6,
0,"S DÃ¶weling, M VÃ¶lkel","Caching SPARQL Query Results",,"site.xam.de","","http://site.xam.de/2007/2007-05-ISWC-submission-doeweling-voelkel-CachingSPARQL.pdf","",15,"2019-07-21 18:19:59","PDF","","","",,,,,0,0.00,0,2,
2,"S Marwaha, M Gupta, M Bansal, ...","Semantic Web Enabled Resource Scheduler: An Approach Using Temporal Extensions to Ontologies",2007,"International ConferenceÂ â€¦","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/4426678/","https://scholar.google.com/scholar?cites=3489621076290598499&as_sdt=2005&sciodt=0,5&hl=en",15,"2019-07-21 18:19:59","","","","",,,,,2,0.17,1,4,12
2,"N Mihindukulasooriya, M Rico, ...","Repairing hidden links in linked data: enhancing the quality of RDF knowledge graphs",2017,"Proceedings of theÂ â€¦","dl.acm.org","https://dl.acm.org/citation.cfm?id=3148020","https://scholar.google.com/scholar?cites=16711375050637550288&as_sdt=2005&sciodt=0,5&hl=en",15,"2019-07-21 18:19:59","","","","",,,,,2,1.00,1,3,2
14,"E HyvÃ¶nen, E Ikkala, J Tuominen","Linked Data brokering service for historical places and maps.",2016,"WHiSe@ ESWC","research.aalto.fi","https://research.aalto.fi/files/26503392/paper_06_1.pdf","https://scholar.google.com/scholar?cites=9454029689401676602&as_sdt=2005&sciodt=0,5&hl=en",15,"2019-07-21 18:19:59","PDF","","","",,,,,14,4.67,5,3,3
10,"M Lopez, D Mader","Gravelly and sandy braidplain evolving into floodplain and playa lake deposits and vice versa in the Buntsandstein-facies sediments and marine incursions in theÂ â€¦",1985,"Aspects of Fluvial Sedimentation in the Lower TriassicÂ â€¦","Springer","https://link.springer.com/chapter/10.1007/BFb0010537","https://scholar.google.com/scholar?cites=2374992043724935169&as_sdt=2005&sciodt=0,5&hl=en",15,"2019-07-21 18:19:59","","","","",,,,,10,0.29,5,2,34
9,"W Hamilton, P Bajaj, M Zitnik, D Jurafsky, ...","Embedding logical queries on knowledge graphs",2018,"Advances in NeuralÂ â€¦","papers.nips.cc","http://papers.nips.cc/paper/7473-embedding-logical-queries-on-knowledge-graphs","https://scholar.google.com/scholar?cites=9948805019620970484&as_sdt=2005&sciodt=0,5&hl=en",15,"2019-07-21 18:19:59","","","","",,,,,9,9.00,2,5,1
1659,"W Rosenberg, A Donald","Evidence based medicine: an approach to clinical problem-solving",1995,"Bmj","bmj.com","https://www.bmj.com/content/310/6987/1122?variant=full","https://scholar.google.com/scholar?cites=13221752141599388113&as_sdt=2005&sciodt=0,5&hl=en",15,"2019-07-21 18:19:59","","","","",,,,,1659,69.13,830,2,24
73,"L Palenzuela, AL Andreu, J Gamez, MR Vila, ...","A novel autosomal dominant limb-girdle muscular dystrophy (LGMD 1F) maps to 7q32. 1-32.2",2003,"Neurology","AAN Enterprises","https://n.neurology.org/content/61/3/404.short","https://scholar.google.com/scholar?cites=15021221156945126470&as_sdt=2005&sciodt=0,5&hl=en",15,"2019-07-21 18:19:59","","","","",,,,,73,4.56,15,5,16
2,"S Chun, J Jung, X Jin, S Yoon, KH Lee","Proactive Replication of Dynamic Linked Data for Scalable RDF Stream Processing.",2016,"International Semantic WebÂ â€¦","ceur-ws.org","http://ceur-ws.org/Vol-1690/paper49.pdf","https://scholar.google.com/scholar?cites=10627508331053032466&as_sdt=2005&sciodt=0,5&hl=en",16,"2019-07-21 18:19:59","PDF","","","",,,,,2,0.67,0,5,3
60,"J Jen, CJ Coulin, TM Bosley, MAM Salih, C Sabatti, ...","Familial horizontal gaze palsy with progressive scoliosis maps to chromosome 11q23-25",2002,"Neurology","AAN Enterprises","https://n.neurology.org/content/59/3/432.short","https://scholar.google.com/scholar?cites=9169333198253280876&as_sdt=2005&sciodt=0,5&hl=en",16,"2019-07-21 18:19:59","","","","",,,,,60,3.53,10,6,17
12,"L Bellomarini, E Sallinger, G Gottlob","The Vadalog system: Datalog-based reasoning for knowledge graphs",2018,"Proceedings of the VLDBÂ â€¦","dl.acm.org","https://dl.acm.org/citation.cfm?id=3232243","https://scholar.google.com/scholar?cites=7878340251913854252&as_sdt=2005&sciodt=0,5&hl=en",16,"2019-07-21 18:19:59","","","","",,,,,12,12.00,4,3,1
